equipment,date,changed_pcs
100268,7/14/2023,0
100268,10/3/2023,1
100268,10/3/2023,1
100268,1/17/2024,2
100312,3/18/2023,0
100312,3/18/2023,0
100312,11/11/2023,2
100312,11/11/2023,2
100452,7/2/2023,1
100452,7/2/2023,1
100452,7/19/2023,0
100452,7/19/2023,0
100452,10/7/2023,0
100452,10/7/2023,0
100452,11/8/2023,1
100452,11/8/2023,1
100452,11/8/2023,1
100452,11/8/2023,1
100452,2/26/2024,0
100452,3/6/2024,0
100884,8/18/2023,0
100884,8/18/2023,0
100884,8/24/2023,1
100884,8/24/2023,1
100884,10/19/2023,1
100884,10/19/2023,1
100884,3/6/2024,1
101632,6/6/2023,1
101632,6/6/2023,1
101638,3/1/2023,1
101638,3/1/2023,1
101638,3/4/2023,0
101638,3/4/2023,0
101638,3/4/2023,0
101638,3/4/2023,0
101638,3/11/2023,1
101638,3/11/2023,1
101638,4/16/2023,1
101638,4/16/2023,1
101638,5/3/2023,0
101638,5/3/2023,0
101638,5/3/2023,0
101638,5/3/2023,0
101638,5/4/2023,0
101638,5/4/2023,0
101638,5/5/2023,0
101638,5/5/2023,0
101638,5/10/2023,1
101638,5/10/2023,1
101638,5/21/2023,1
101638,5/21/2023,0
101638,5/21/2023,1
101638,5/24/2023,0
101638,5/25/2023,0
101638,5/27/2023,0
101638,5/28/2023,0
101638,5/28/2023,0
101638,5/29/2023,0
101638,6/6/2023,1
101638,6/6/2023,1
101638,6/24/2023,1
101638,6/24/2023,1
101638,6/26/2023,0
101638,6/26/2023,0
101638,6/27/2023,0
101638,6/27/2023,0
101638,6/30/2023,0
101638,6/30/2023,0
101638,7/3/2023,3
101638,7/3/2023,3
101638,7/6/2023,1
101638,7/6/2023,0
101638,7/6/2023,1
101638,7/6/2023,0
101638,7/19/2023,1
101638,7/19/2023,1
101638,7/25/2023,0
101638,7/25/2023,0
101638,7/27/2023,1
101638,7/27/2023,0
101638,7/27/2023,1
101638,7/27/2023,0
101638,7/28/2023,0
101638,8/13/2023,1
101638,8/13/2023,0
101638,8/13/2023,1
101638,8/13/2023,0
101638,8/14/2023,0
101638,8/14/2023,0
101638,8/14/2023,0
101638,8/14/2023,0
101638,8/15/2023,0
101638,8/15/2023,0
101638,8/20/2023,0
101638,8/20/2023,0
101638,8/22/2023,1
101638,8/22/2023,1
101638,8/25/2023,1
101638,8/25/2023,1
101638,8/27/2023,0
101638,8/27/2023,0
101638,8/28/2023,2
101638,8/28/2023,2
101638,8/30/2023,0
101638,8/30/2023,0
101638,9/3/2023,0
101638,9/3/2023,0
101638,10/18/2023,1
101638,10/18/2023,1
101638,11/6/2023,1
101638,11/6/2023,1
101638,1/5/2024,0
101638,4/21/2024,1
101638,4/24/2024,0
101638,4/24/2024,0
101638,4/28/2024,0
101638,5/7/2024,0
101638,5/20/2024,0
101638,5/23/2024,3
