Equipment,Operation,WO Type,Model Base,Problem Code,Failure Code,Cause Code,Action Code,Date,downtimeGross,pitHours,realDowntime,partsCost,repairHours,waitingHours
1005292,SET SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA012,04/18/2024,3.00,2.83,0.17,$62.83,2.00,1.00
1005292,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC099,SEWA100,04/22/2024,1.67,1.5,0.17,$0.00,1.50,0.17
1005292,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC103,SEWA098,01/17/2024,0.50,0.33,0.17,$96.69,0.50,0.00
1005292,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC103,SEWA098,05/14/2024,1.17,1,0.17,$0.00,1.00,0.17
1005293,HEM BOTTOM,Corrective Maintenance,VC2711,SEWP002,SEWF001,SEWC012,SEWA013,05/14/2024,1.08,1,0.08,$20.00,1.00,0.08
1005293,HEM BOTTOM,Corrective Maintenance,VC2711,SEWP002,SEWF001,SEWC012,SEWA013,05/30/2024,2.08,2,0.08,$51.88,2.00,0.08
1005293,HEM BOTTOM,Corrective Maintenance,VC2711,SEWP002,SEWF009,SEWC012,SEWA013,04/15/2024,0.75,0.67,0.08,$0.00,0.67,0.08
1005293,HEM BOTTOM,Corrective Maintenance,VC2711,SEWP002,SEWF009,SEWC012,SEWA013,05/28/2024,0.50,0.33,0.17,$0.00,0.33,0.17
1005293,HEM BOTTOM,Corrective Maintenance,VC2711,SEWP002,SEWF009,SEWC012,SEWA013,05/29/2024,1.08,1,0.08,$92.30,1.00,0.08
1005294,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA012,03/06/2024,6.08,6,0.08,$53.03,6.00,0.08
1005294,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP001,SEWF009,SEWC118,SEWA106,06/05/2024,0.17,0.17,0.00,$15.38,0.17,0.00
1005294,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC018,SEWA013,03/15/2024,0.08,0.08,0.00,$7.92,0.08,0.00
1005294,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC018,SEWA015,04/04/2024,0.08,0.08,0.00,$15.15,0.08,0.00
1005513,TAPE SHOULDER,Corrective Maintenance,DT6L2512,SEWP002,SEWF001,SEWC012,SEWA013,01/15/2024,0.42,0.33,0.09,$58.90,0.33,0.08
1005513,TAPE SHOULDER,Corrective Maintenance,DT6L2512,SEWP002,SEWF009,SEWC012,SEWA013,04/10/2024,2.08,2,0.08,$0.00,2.00,0.08
1005521,TAPE SHOULDER,Corrective Maintenance,DT6L2512,SEWP002,SEWF001,SEWC013,SEWA012,05/08/2024,1.17,1,0.17,$0.00,1.00,0.17
1005521,TAPE SHOULDER,Corrective Maintenance,DT6L2512,SEWP002,SEWF001,SEWC017,SEWA013,05/06/2024,2.58,2.42,0.16,$0.00,2.42,0.17
1005521,TAPE SHOULDER,Corrective Maintenance,DT6L2512,SEWP002,SEWF001,SEWC017,SEWA013,05/08/2024,0.75,0.75,0.00,$0.00,0.58,0.17
1005521,TAPE SHOULDER,Corrective Maintenance,DT6L2512,SEWP002,SEWF009,SEWC100,SEWA095,04/29/2024,1.25,0.83,0.42,$0.00,1.17,0.08
1005521,TAPE SHOULDER,Corrective Maintenance,DT6L2512,SEWP003,SEWF009,SEWC012,SEWA013,04/19/2024,1.17,1,0.17,$2.00,1.17,0.00
1005521,TAPE SHOULDER,Corrective Maintenance,DT6L2512,SEWP002,SEWF009,SEWC100,SEWA095,02/27/2024,0.83,0.67,0.16,$0.00,0.67,0.17
1005521,TAPE SHOULDER,Breakdown,DT6L2512,SEWP001,SEWF009,SEWC103,SEWA098,04/18/2024,3.58,3.42,0.16,$0.00,3.42,0.17
1005521,TAPE SHOULDER,Corrective Maintenance,DT6L2512,SEWP002,SEWF001,SEWC017,SEWA013,02/08/2024,1.83,1.67,0.16,$0.00,0.17,1.67
1006723,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP001,SEWF001,SEWC001,SEWA001,05/30/2024,0.08,0,0.08,$2.96,0.08,0.00
1006723,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC021,SEWA018,05/06/2024,0.83,0.75,0.08,$0.00,0.83,0.00
1006723,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA012,01/25/2024,1.17,1.08,0.09,$0.00,1.17,0.00
1006723,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA012,05/31/2024,1.17,1.08,0.09,$0.00,1.17,0.00
1006723,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF011,SEWC135,SEWA123,03/20/2024,0.25,0,0.25,$0.00,0.25,0.00
1006723,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF011,SEWC138,SEWA120,04/25/2024,0.25,0.17,0.08,$101.30,0.25,0.00
1006723,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF011,SEWC138,SEWA126,04/26/2024,1.83,1.83,0.00,$0.00,1.83,0.00
1006730,HEM BOTTOM,Corrective Maintenance,VC2713,SEWP002,SEWF001,SEWC001,SEWA001,02/14/2024,0.17,0,0.17,$99.76,0.17,0.00
1006730,HEM BOTTOM,Corrective Maintenance,VC2713,SEWP002,SEWF009,SEWC017,SEWA013,05/23/2024,0.33,0.25,0.08,$0.00,0.25,0.08
1006730,HEM BOTTOM,Corrective Maintenance,VC2713,SEWP002,SEWF025,SEWC211,SEWA203,02/21/2024,1.67,1.58,0.09,$0.00,0.83,0.83
1010770,HEM BOTTOM,Breakdown,VC2700,SEWP001,SEWF009,SEWC013,SEWA012,06/06/2024,1.50,1.33,0.17,$113.55,1.00,0.50
1010770,HEM BOTTOM,Breakdown,VC2700,SEWP001,SEWF009,SEWC103,SEWA090,02/20/2024,0.50,0.33,0.17,$0.00,0.50,0.00
1010770,HEM BOTTOM,Breakdown,VC2700,SEWP001,SEWF009,SEWC103,SEWA098,04/12/2024,1.00,0.83,0.17,$88.31,1.00,0.00
1010770,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP001,SEWF001,SEWC001,SEWA001,05/27/2024,0.08,0,0.08,$4.96,0.08,0.00
1010770,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC001,SEWA001,03/04/2024,0.50,0.33,0.17,$0.00,0.33,0.17
1010770,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC103,SEWA058,02/16/2024,0.67,0.5,0.17,$153.18,0.50,0.17
1010770,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC103,SEWA098,04/11/2024,0.67,0.5,0.17,$0.00,0.50,0.17
1010770,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC103,SEWA098,04/18/2024,2.25,2.08,0.17,$0.00,1.00,1.25
1010770,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC103,SEWA098,05/15/2024,1.00,1,0.00,$43.50,1.00,0.00
1010770,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC103,SEWA098,06/06/2024,3.17,3,0.17,$72.40,1.50,1.67
1010770,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF019,SEWC166,SEWA155,02/12/2024,1.25,1.08,0.17,$20.00,1.00,0.25
1010810,HEM BOTTOM,Breakdown,VC2700,SEWP001,SEWF001,SEWC001,SEWA001,02/21/2024,0.17,0.08,0.09,$0.00,0.08,0.08
1010810,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC001,SEWA001,03/18/2024,2.92,2.83,0.09,$36.55,2.42,0.50
1010810,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC091,SEWA003,03/18/2024,1.58,1.08,0.50,$46.25,1.50,0.08
1010810,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC091,SEWA003,03/19/2024,2.50,2.42,0.08,$0.74,2.50,0.00
1010810,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC091,SEWA003,04/16/2024,0.75,0.67,0.08,$35.13,0.75,0.00
1010810,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC117,SEWA105,05/09/2024,0.58,0.5,0.08,$6.00,0.58,0.00
1010810,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP002,SEWF020,SEWC183,SEWA176,04/25/2024,0.58,0.5,0.08,$0.00,0.58,0.00
1010810,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP006,SEWF009,SEWC100,SEWA095,03/18/2024,1.08,1,0.08,$0.00,0.58,0.50
1010843,HEM SLEEVE,Corrective Maintenance,VC2713,SEWP001,SEWF001,SEWC001,SEWA001,01/23/2024,6.08,0,6.08,$0.00,6.08,0.00
1010843,HEM SLEEVE,Corrective Maintenance,VC2713,SEWP002,SEWF001,SEWC004,SEWA002,01/22/2024,1.08,0.92,0.16,$0.00,1.00,0.08
1010843,HEM SLEEVE,Corrective Maintenance,VC2713,SEWP002,SEWF001,SEWC005,SEWA005,01/24/2024,3.83,3.83,0.00,$61.43,3.67,0.17
1010843,HEM SLEEVE,Corrective Maintenance,VC2713,SEWP002,SEWF009,SEWC013,SEWA003,01/25/2024,2.00,1.92,0.08,$0.00,2.00,0.00
1010843,HEM SLEEVE,Corrective Maintenance,VC2713,SEWP002,SEWF009,SEWC018,SEWA015,01/08/2024,0.67,0.58,0.09,$74.85,0.67,0.00
1010843,HEM SLEEVE,Corrective Maintenance,VC2713,SEWP002,SEWF011,SEWC136,SEWA124,01/12/2024,2.33,2.25,0.08,$0.00,2.17,0.17
